ID,LATITUDE,LONGITUDE,TIMESTAMP
1,23.29028,-106.47101,2024-01-09T00:39:24Z
1,23.29025,-106.47107,2024-01-09T00:39:23Z
1,23.29022,-106.47109,2024-01-09T00:39:24Z
1,23.2901756,-106.4710069,2024-02-22T02:00:28Z
1,23.2903438,-106.4708656,2024-02-22T19:10:01Z
1,23.2708511,-106.4655136,2024-02-22T20:33:36Z
1,23.2901596,-106.4710387,2024-02-22T18:28:02Z
1,23.2901596,-106.4710387,2024-02-22T18:30:26Z
1,23.2903501,-106.4708196,2024-02-22T19:29:14Z
1,23.2901771,-106.4710051,2024-02-22T04:02:21Z
1,23.2901674,-106.471008,2024-02-22T01:58:03Z
1,23.2901602,-106.4710323,2024-02-22T06:04:24Z
1,23.2902704,-106.4709013,2024-02-22T18:09:48Z
1,23.2901652,-106.4710128,2024-02-22T00:59:43Z
1,23.2901581,-106.471032,2024-02-22T05:03:25Z
1,23.2901474,-106.4710343,2024-02-22T05:02:25Z
1,23.2901771,-106.4710051,2024-02-22T03:01:25Z
1,23.2902922,-106.4708598,2024-02-22T17:40:43Z
1,23.2708633,-106.464975,2024-02-22T20:24:09Z
1,23.2906918,-106.4709426,2024-02-22T20:50:08Z
1,23.2709449,-106.4648383,2024-02-22T20:35:52Z
1,23.2902741,-106.4708981,2024-02-22T16:37:22Z
1,23.2778214,-106.4248493,2024-02-22T22:32:22Z
1,23.29029274,-106.47086334,2024-02-22T17:57:47Z
1,23.2901633,-106.4710384,2024-02-22T16:07:49Z
1,23.270875,-106.4649699,2024-02-22T20:30:18Z
1,23.290775,-106.4708569,2024-02-22T21:12:27Z
1,23.2779203,-106.4674427,2024-02-22T20:42:25Z
1,23.2738149,-106.448133,2024-02-22T22:01:51Z
1,23.2755134,-106.4255063,2024-02-22T22:12:01Z
1,23.2901777,-106.471009,2024-02-22T01:27:20Z
1,23.2901522,-106.4710483,2024-02-22T23:20:27Z
1,23.2901585,-106.471048,2024-02-22T23:49:05Z
1,23.279016,-106.4137608,2024-02-22T22:22:11Z
1,23.2902082,-106.4709668,2024-02-22T23:15:08Z
1,23.2947571,-106.4759446,2024-02-22T22:57:27Z
1,23.2798717,-106.44693,2024-02-22T22:49:27Z
1,23.2907721,-106.4708564,2024-02-22T21:27:26Z
1,23.2901574,-106.471041,2024-02-22T17:08:05Z
1,23.2901623,-106.4710395,2024-02-22T20:46:22Z
1,23.29037,-106.4725717,2024-02-22T22:59:24Z
1,23.2813108,-106.435051,2024-02-22T22:34:38Z
1,23.2907721,-106.4708564,2024-02-22T21:50:30Z
1,23.2738217,-106.4176161,2024-02-22T22:17:07Z
1,23.2904617,-106.4583967,2024-02-22T22:52:21Z
1,23.2849844,-106.4436485,2024-02-22T22:37:01Z
1,23.2901678,-106.4710256,2024-02-22T23:01:17Z
1,23.2906918,-106.4709426,2024-02-22T21:22:24Z
1,23.2793644,-106.4463972,2024-02-22T22:06:57Z
1,23.287,-106.44057,2024-01-20T20:56:03Z
1,23.29012,-106.47101,2024-01-03T11:35:51Z
1,23.29018,-106.471,2024-01-03T14:10:00Z
1,23.28622,-106.47058,2024-01-03T19:29:46Z
1,23.2724,-106.4532,2024-01-03T18:01:02Z
1,23.29015,-106.47101,2024-01-03T06:31:00Z
1,23.28627,-106.47052,2024-01-03T19:29:43Z
1,23.2901535,-106.47102356,2024-01-21T18:34:55Z
1,23.2901535,-106.47102356,2024-01-21T17:59:15Z
1,23.2896,-106.47503,2024-01-21T13:59:34Z
1,23.2901535,-106.47102356,2024-01-21T19:38:03Z
1,23.2724,-106.45327,2024-01-03T18:01:04Z
1,23.29017,-106.471,2024-01-03T14:10:17Z
1,23.29012,-106.471,2024-01-03T14:10:03Z
1,23.2724,-106.45329,2024-01-03T18:01:06Z
1,23.2724,-106.45322,2024-01-03T18:01:07Z
1,23.29012,-106.471,2024-01-03T14:10:10Z
1,23.29014,-106.471,2024-01-03T14:10:06Z
1,23.28624,-106.47051,2024-01-03T19:29:46Z
1,23.29017,-106.471,2024-01-08T06:36:00Z
1,23.29015,-106.471,2024-01-08T06:36:22Z
1,23.2901,-106.471,2024-01-08T06:36:25Z
1,23.290151,-106.4710221,2024-02-17T10:16:18Z
1,23.2901427,-106.4710419,2024-02-17T02:08:11Z
1,23.2901576,-106.4710509,2024-02-17T23:30:13Z
1,23.2901425,-106.4710411,2024-02-17T07:13:22Z
1,23.290168,-106.4710088,2024-02-17T23:07:23Z
1,23.2901442,-106.4710386,2024-02-17T08:14:25Z
1,23.2901497,-106.4710299,2024-02-17T13:27:51Z
1,23.2901436,-106.4710306,2024-02-17T13:19:31Z
1,23.2901602,-106.4710314,2024-02-17T22:29:12Z
1,23.2901658,-106.4710119,2024-02-17T21:27:19Z
1,23.2901647,-106.4710288,2024-02-17T01:23:25Z
1,23.2901442,-106.4710386,2024-02-17T09:15:17Z
1,23.1982938,-106.21673,2024-01-15T18:19:33Z
1,23.2794878,-106.4497209,2024-01-15T21:03:29Z
1,23.2565363,-106.1270363,2024-01-15T17:17:31Z
1,23.3023401,-106.4212636,2024-01-15T20:41:32Z
